,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,294.82,67,81,2.68,ZA,1615479549
1,Pavlohrad,48.5167,35.8667,268.15,63,0,6.0,UA,1615479551
2,Korāput,18.8167,82.7167,296.76,34,82,3.06,IN,1615479552
3,Punta Arenas,-53.15,-70.9167,282.15,61,75,11.32,CL,1615479554
4,Busselton,-33.65,115.3333,291.48,97,100,1.34,AU,1615479555
5,Airai,-8.9266,125.4092,289.11,96,52,0.34,TL,1615479557
6,Rørvik,64.8621,11.2373,275.15,60,75,7.72,NO,1615479558
7,Cosamaloapan,18.3667,-95.8,299.69,63,10,1.72,MX,1615479560
8,Jamestown,42.097,-79.2353,290.15,48,75,7.62,US,1615479332
9,Beringovskiy,63.05,179.3167,253.65,76,0,2.32,RU,1615479562
10,Rikitea,-23.1203,-134.9692,298.88,78,22,7.66,PF,1615479564
11,Souillac,-20.5167,57.5167,300.15,78,75,4.63,MU,1615479565
12,Yeppoon,-23.1333,150.7333,296.15,83,40,2.57,AU,1615479567
13,Port Elizabeth,-33.918,25.5701,290.15,100,90,5.14,ZA,1615479568
14,Khatanga,71.9667,102.5,247.39,94,100,8.74,RU,1615479570
15,Puerto Ayora,-0.7393,-90.3518,301.15,78,40,4.12,EC,1615479571
16,Marathon,44.9,-89.7668,275.93,75,90,10.8,US,1615479573
17,Butaritari,3.0707,172.7902,299.86,78,81,6.51,KI,1615479574
18,Thinadhoo,0.5333,72.9333,301.39,65,95,2.05,MV,1615479576
19,Nouadhibou,20.931,-17.0347,301.15,26,56,7.2,MR,1615479577
20,Springbok,-29.6643,17.8865,296.75,52,0,4.79,ZA,1615479579
21,Barrow,71.2906,-156.7887,249.15,70,1,5.14,US,1615479580
22,Sandwick,60.0,-1.25,280.15,76,20,14.4,GB,1615479582
23,Kamenka,51.3223,42.7678,254.89,93,3,2.77,RU,1615479583
24,Mizque,-17.941,-65.3402,296.93,43,0,2.46,BO,1615479513
25,Qui Nhon,13.7667,109.2333,296.4,87,1,3.25,VN,1615479586
26,Provideniya,64.3833,-173.3,251.29,72,0,2.28,RU,1615479587
27,Bluff,-46.6,168.3333,279.82,91,70,0.89,NZ,1615479589
28,Dingle,10.9995,122.6711,296.46,96,100,3.96,PH,1615479590
29,Acapulco de Juárez,16.8634,-99.8901,302.15,51,1,2.06,MX,1615479308
30,Hanzhong,33.0728,107.0303,285.22,72,2,0.5,CN,1615479593
31,Hithadhoo,-0.6,73.0833,301.17,68,45,2.84,MV,1615479594
32,Yellowknife,62.456,-114.3525,252.04,76,40,5.14,CA,1615479305
33,Porto-Novo,6.4965,2.6036,304.15,74,40,6.69,BJ,1615479355
34,Ilulissat,69.2167,-51.1,266.15,58,20,3.09,GL,1615479598
35,Tuktoyaktuk,69.4541,-133.0374,256.15,85,90,5.66,CA,1615479600
36,Mataura,-46.1927,168.8643,279.82,92,81,0.89,NZ,1615479604
37,Severo-Kuril'sk,50.6789,156.125,272.0,93,57,7.88,RU,1615479606
38,Olafsvik,64.8945,-23.7142,271.99,68,97,10.86,IS,1615479607
39,Marawi,7.9986,124.2928,297.59,93,99,1.79,PH,1615479609
40,Qaanaaq,77.484,-69.3632,257.62,61,0,1.74,GL,1615479610
41,Antofagasta,-23.65,-70.4,298.71,60,20,4.63,CL,1615479487
42,East London,-33.0153,27.9116,292.15,88,75,3.09,ZA,1615479613
43,Saskylakh,71.9167,114.0833,248.74,88,100,7.76,RU,1615479615
44,Vaini,-21.2,-175.2,297.15,78,40,3.6,TO,1615479616
45,Ostrovnoy,68.0531,39.5131,262.26,76,100,13.44,RU,1615479618
46,Korla,41.7597,86.1469,283.4,38,20,0.85,CN,1615479619
47,Chase,50.8165,-119.6857,272.04,74,7,1.03,CA,1615479621
48,Bredasdorp,-34.5322,20.0403,294.15,64,79,5.14,ZA,1615479622
49,Vila Franca do Campo,37.7167,-25.4333,286.15,94,75,7.2,PT,1615479624
50,Camopi,3.1655,-52.3158,297.02,97,100,1.41,GF,1615479625
51,Atar,20.5169,-13.0499,304.57,10,50,8.82,MR,1615479627
52,Oodweyne,9.4092,45.064,298.19,47,0,5.16,SO,1615479628
53,Akdepe,42.0551,59.3788,281.15,46,0,8.23,TM,1615479629
54,Sinegor'ye,62.0788,150.477,253.62,85,100,1.09,RU,1615479631
55,Avarua,-21.2078,-159.775,299.15,83,20,2.06,CK,1615479633
56,Kozhva,65.1073,57.0459,258.27,95,100,3.66,RU,1615479634
57,Albany,42.6001,-73.9662,285.37,59,64,3.13,US,1615479480
58,Atuona,-9.8,-139.0333,299.41,71,100,5.5,PF,1615479637
59,Ibirapitanga,-14.1642,-39.3736,307.46,33,24,2.38,BR,1615479638
60,Thompson,55.7435,-97.8558,253.15,59,1,4.12,CA,1615479640
61,Ushuaia,-54.8,-68.3,276.15,93,90,3.6,AR,1615479464
62,Tazovsky,67.4667,78.7,239.18,96,0,3.87,RU,1615479643
63,Hambantota,6.1241,81.1185,297.15,100,20,2.06,LK,1615479644
64,Taganak,6.0833,118.3,299.15,94,20,1.54,PH,1615479645
65,Charters Towers,-20.1,146.2667,295.3,88,13,3.37,AU,1615479647
66,Prymors'k,46.7348,36.3443,270.86,47,100,7.96,UA,1615479648
67,Cape Town,-33.9258,18.4232,295.37,56,20,3.09,ZA,1615479644
68,Halifax,44.6453,-63.5724,280.37,81,75,6.17,CA,1615479592
69,Ouallam,14.3188,2.0866,312.03,7,20,3.84,NE,1615479653
70,Ladário,-19.0047,-57.6017,306.15,52,20,3.09,BR,1615479654
71,Husavik,66.0449,-17.3389,275.15,87,90,5.66,IS,1615479655
72,Oistins,13.0667,-59.5333,302.15,58,75,11.32,BB,1615479491
73,Poum,-20.2333,164.0167,298.97,73,51,5.88,NC,1615479658
74,Mahébourg,-20.4081,57.7,300.15,78,75,4.63,MU,1615479660
75,Omboué,-1.5746,9.2618,299.96,85,100,2.61,GA,1615479661
76,Luján,-34.5703,-59.105,302.04,54,0,3.6,AR,1615479603
77,Kununurra,-15.7667,128.7333,298.15,100,75,2.06,AU,1615479664
78,Shenandoah,30.4013,-91.0009,298.71,68,7,2.24,US,1615479665
79,Gari,59.4307,62.3497,250.21,96,96,3.11,RU,1615479667
80,Zhigansk,66.7697,123.3711,246.14,94,38,3.0,RU,1615479668
81,Nikolskoye,59.7035,30.7861,268.15,53,0,6.0,RU,1615479669
82,Rocha,-34.4833,-54.3333,299.88,37,100,1.65,UY,1615479627
83,Bredy,52.4153,60.3411,254.55,86,97,5.55,RU,1615479672
84,Clyde River,70.4692,-68.5914,253.15,77,75,7.72,CA,1615479674
85,Chokurdakh,70.6333,147.9167,244.29,83,99,2.58,RU,1615479675
86,Santa Cruz de Tenerife,28.4682,-16.2546,293.71,88,75,6.17,ES,1615479677
87,Esim,4.8699,-2.2405,302.56,70,45,4.74,GH,1615479678
88,Hinton,53.4001,-117.5857,262.15,79,90,2.06,CA,1615479680
89,Hong Kong,22.2855,114.1577,293.71,83,24,3.58,HK,1615479483
90,Faanui,-16.4833,-151.75,300.87,76,37,5.77,PF,1615479682
91,Shenjiamen,29.9576,122.298,284.14,92,53,7.27,CN,1615479684
92,Yulara,-25.2406,130.9889,300.15,61,99,3.09,AU,1615479685
93,Port Alfred,-33.5906,26.891,292.59,86,66,3.13,ZA,1615479687
94,Mehamn,71.0357,27.8492,266.15,79,0,13.38,NO,1615479688
95,Esperance,-33.8667,121.9,292.15,88,40,3.6,AU,1615479690
96,Andra,62.5147,65.8878,246.34,97,78,1.59,RU,1615479691
97,Kiunga,-6.1219,141.2906,296.25,99,100,1.69,PG,1615479693
98,Itarema,-2.9248,-39.9167,303.84,64,87,6.01,BR,1615479694
99,Kanniyākumāri,8.0833,77.5667,300.74,70,0,3.24,IN,1615479696
100,Atasū,48.6814,71.6433,261.15,85,100,4.03,KZ,1615479697
101,Usogorsk,63.4106,48.6872,260.54,83,34,4.48,RU,1615479699
102,Rovaniemi,66.5,25.7167,263.15,79,90,7.2,FI,1615479700
103,Geraldton,-28.7667,114.6,295.15,88,4,3.6,AU,1615479702
104,Mukhen,48.1,136.1,266.17,93,1,3.27,RU,1615479703
105,Hobart,-42.8794,147.3294,289.15,82,90,2.06,AU,1615479552
106,The Village,35.5609,-97.5514,282.15,81,90,5.14,US,1615479706
107,Tambura,5.6,27.4667,306.88,24,84,2.61,SS,1615479707
108,Yangi Marg`ilon,40.4272,71.7189,281.15,71,75,4.12,UZ,1615479709
109,Dikson,73.5069,80.5464,247.74,93,100,10.25,RU,1615479710
110,São Paulo de Olivença,-3.3783,-68.8725,301.22,72,92,0.54,BR,1615479712
111,Arman',59.7,150.1667,255.33,85,100,1.62,RU,1615479713
112,Santa Vitória do Palmar,-33.5189,-53.3681,298.96,47,70,1.09,BR,1615479715
113,Arlit,18.7369,7.3853,312.23,5,0,3.6,NE,1615479716
114,Gouré,13.9835,10.2704,312.04,5,55,0.89,NE,1615479718
115,Kieta,-6.2167,155.6333,299.58,84,100,1.94,PG,1615479719
116,Tamiahua,21.2667,-97.45,297.03,80,40,3.41,MX,1615479721
